timestamp_us,channel,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,fsr_heel_left,fsr_fore_left,fsr_heel_right,fsr_fore_right,gait_phase
15000,3,0.833155,0.553039,0.0,0.0,67.152,0.0,0.0,154,15,16358,133.292,1.128,-0.304,39,0,513,655,0
15000,4,0.846844,0.531842,0.0,0.0,64.26,0.0,0.0,24,126,16431,128.012,-0.027,0.338,39,0,513,655,0
15000,5,0.999227,0.039301,0.0,0.0,4.505,0.0,0.0,-90,-39,16367,9.05,-1.127,1.024,39,0,513,655,0
20000,0,0.969719,0.244223,0.0,0.0,28.272,0.0,0.0,-47,-58,16551,54.4,-0.556,0.644,69,0,429,552,0
20000,1,0.98912,0.147111,0.0,0.0,16.919,0.0,0.0,27,-32,16363,37.019,-0.267,-0.686,69,0,429,552,0
20000,2,0.994982,0.100053,0.0,0.0,11.484,0.0,0.0,-77,13,16428,23.483,-1.384,-0.508,69,0,429,552,0
20000,3,0.835193,0.549958,0.0,0.0,66.728,0.0,0.0,-25,-8,16370,132.624,0.155,-1.063,69,0,429,552,0
20000,4,0.852271,0.523101,0.0,0.0,63.081,0.0,0.0,17,124,16289,126.009,-0.479,-0.255,69,0,429,552,0
20000,5,0.999529,0.030675,0.0,0.0,3.516,0.0,0.0,7,-116,16486,6.789,0.297,-1.148,69,0,429,552,0
25000,0,0.968728,0.248126,0.0,0.0,28.733,0.0,0.0,-20,117,16442,56.327,-0.003,0.229,108,0,352,455,0
25000,1,0.987491,0.157674,0.0,0.0,18.144,0.0,0.0,21,-34,16622,37.208,-0.478,0.565,108,0,352,455,0
25000,2,0.994089,0.108569,0.0,0.0,12.466,0.0,0.0,-53,-1,16321,25.406,-0.11,-0.331,108,0,352,455,0
25000,3,0.8374,0.54659,0.0,0.0,66.267,0.0,0.0,-51,-131,16602,133.004,-0.136,-0.199,108,0,352,455,0
25000,4,0.857813,0.513962,0.0,0.0,61.856,0.0,0.0,-172,176,16378,122.692,0.379,0.549,108,0,352,455,0
25000,5,0.999755,0.022114,0.0,0.0,2.534,0.0,0.0,-35,-75,16133,5.897,0.103,0.676,108,0,352,455,0
30000,0,0.967639,0.252338,0.0,0.0,29.232,0.0,0.0,0,-130,16438,57.592,0.257,-0.504,155,0,281,366,0
30000,1,0.985686,0.168591,0.0,0.0,19.412,0.0,0.0,79,-44,16207,38.944,-0.201,1.225,155,0,281,366,0
30000,2,0.993133,0.116993,0.0,0.0,13.437,0.0,0.0,122,1,16305,26.211,0.733,-0.015,155,0,281,366,0
30000,3,0.839771,0.542941,0.0,0.0,65.768,0.0,0.0,-85,148,16365,132.791,0.636,0.401,155,0,281,366,0
30000,4,0.863448,0.504439,0.0,0.0,60.588,0.0,0.0,60,10,16467,122.463,0.442,0.03,155,0,281,366,0
30000,5,0.999907,0.013638,0.0,0.0,1.563,0.0,0.0,-105,-39,16361,0.994,1.052,0.872,155,0,281,366,0
35000,0,0.966451,0.256851,0.0,0.0,29.767,0.0,0.0,-17,-14,16439,59.01,0.53,0.952,210,0,217,285,0
35000,1,0.983696,0.179838,0.0,0.0,20.721,0.0,0.0,113,4,16479,42.759,-1.352,0.705,210,0,217,285,0
35000,2,0.992118,0.125306,0.0,0.0,14.397,0.0,0.0,-25,73,16332,28.456,-0.771,-0.815,210,0,217,285,0
35000,3,0.842295,0.539016,0.0,0.0,65.233,0.0,0.0,32,115,16286,130.333,-0.615,-0.073,210,0,217,285,0
35000,4,0.869153,0.494544,0.0,0.0,59.279,0.0,0.0,2,-45,16526,120.921,-1.113,0.352,210,0,217,285,0
35000,5,0.999986,0.005264,0.0,0.0,0.603,0.0,0.0,-68,81,16482,1.144,-0.21,0.177,210,0,217,285,0
40000,0,0.965162,0.261655,0.0,0.0,30.337,0.0,0.0,48,-76,16247,57.541,-0.063,-1.034,273,0,161,213,0
40000,1,0.981514,0.191388,0.0,0.0,22.068,0.0,0.0,129,-12,16441,43.592,0.955,0.833,273,0,161,213,0
40000,2,0.99105,0.133492,0.0,0.0,15.343,0.0,0.0,-14,164,16385,29.886,0.12,-0.886,273,0,161,213,0
40000,3,0.844966,0.53482,0.0,0.0,64.663,0.0,0.0,-107,22,16447,127.524,-0.507,0.23,273,0,161,213,0
40000,4,0.874906,0.484293,0.0,0.0,57.932,0.0,0.0,12,-158,16268,114.489,-1.538,-0.45,273,0,161,213,0
40000,5,0.999996,-0.002992,-0.0,-0.0,-0.343,-0.0,0.0,-125,-142,16319,-0.089,-0.964,0.495,273,0,161,213,0
45000,0,0.963769,0.266738,0.0,0.0,30.94,0.0,0.0,28,-30,16215,63.149,-1.027,-1.083,343,0,113,150,0
45000,1,0.979134,0.203216,0.0,0.0,23.45,0.0,0.0,-104,-116,16248,46.491,0.372,0.057,343,0,113,150,0
45000,2,0.989933,0.141535,0.0,0.0,16.273,0.0,0.0,59,-92,16497,30.049,1.565,0.408,343,0,113,150,0
45000,3,0.847773,0.53036,0.0,0.0,64.06,0.0,0.0,-7,130,16236,124.482,0.53,0.421,343,0,113,150,0
45000,4,0.880685,0.473703,0.0,0.0,56.55,0.0,0.0,93,-41,16328,110.432,-0.836,0.823,343,0,113,150,0
45000,5,0.999938,-0.011112,-0.0,-0.0,-1.273,-0.0,0.0,-145,132,16254,-3.454,1.497,-0.37,343,0,113,150,0
50000,0,0.962272,0.272088,0.0,0.0,31.577,0.0,0.0,-18,86,16428,64.617,-0.962,-1.432,420,0,74,98,0
50000,1,0.97655,0.215293,0.0,0.0,24.865,0.0,0.0,-30,-30,16328,49.567,-0.434,0.219,420,0,74,98,0
50000,2,0.988774,0.149419,0.0,0.0,17.186,0.0,0.0,-165,-74,16435,32.235,-0.833,0.443,420,0,74,98,0
50000,3,0.850706,0.525641,0.0,0.0,63.423,0.0,0.0,37,-90,16303,128.279,0.065,-0.112,420,0,74,98,0
50000,4,0.886468,0.46279,0.0,0.0,55.135,0.0,0.0,31,8,16421,111.198,0.335,-0.23,420,0,74,98,0
50000,5,0.999818,-0.01908,-0.0,-0.0,-2.186,-0.0,0.0,83,184,16319,-5.911,0.004,-0.814,420,0,74,98,0
55000,0,0.960669,0.277695,0.0,0.0,32.245,0.0,0.0,-47,3,16537,65.676,-0.547,0.31,503,0,42,56,0
55000,1,0.973757,0.227592,0.0,0.0,26.311,0.0,0.0,-65,12,16337,50.786,-0.816,2.585,503,0,42,56,0
55000,2,0.987578,0.157128,0.0,0.0,18.08,0.0,0.0,-32,96,16291,38.596,0.491,0.183,503,0,42,56,0
55000,3,0.853757,0.520672,0.0,0.0,62.755,0.0,0.0,-93,160,16494,123.632,0.252,-0.917,503,0,42,56,0
55000,4,0.892234,0.451573,0.0,0.0,53.689,0.0,0.0,37,-107,16145,104.952,0.005,-0.721,503,0,42,56,0
55000,5,0.999639,-0.026879,-0.0,-0.0,-3.08,-0.0,0.0,22,47,16264,-4.741,-0.177,-0.494,503,0,42,56,0
60000,0,0.958959,0.283545,0.0,0.0,32.944,0.0,0.0,-70,-94,16358,66.914,-0.316,1.481,593,0,19,26,0
60000,1,0.970752,0.240084,0.0,0.0,27.783,0.0,0.0,152,-18,16378,60.942,0.837,0.537,593,0,19,26,0
60000,2,0.986353,0.164647,0.0,0.0,18.953,0.0,0.0,111,-51,16254,35.532,-2.13,0.206,593,0,19,26,0
60000,3,0.856915,0.515458,0.0,0.0,62.056,0.0,0.0,19,-205,16483,124.199,0.387,0.419,593,0,19,26,0
60000,4,0.897962,0.440072,0.0,0.0,52.217,0.0,0.0,1,146,16509,103.551,0.823,0.217,593,0,19,26,0
60000,5,0.999405,-0.034493,-0.0,-0.0,-3.953,-0.0,0.0,204,26,16419,-7.017,-0.179,0.642,593,0,19,26,0
65000,0,0.95714,0.289626,0.0,0.0,33.671,0.0,0.0,39,26,16387,66.431,-1.794,0.43,688,0,5,7,0
65000,1,0.967534,0.252741,0.0,0.0,29.28,0.0,0.0,59,-79,16484,57.712,-1.525,-0.113,688,0,5,7,0
65000,2,0.985104,0.171961,0.0,0.0,19.804,0.0,0.0,-267,-9,16384,38.992,-1.21,0.605,688,0,5,7,0
65000,3,0.860169,0.510009,0.0,0.0,61.329,0.0,0.0,-38,52,16483,121.882,0.581,0.653,688,0,5,7,0
65000,4,0.903633,0.428308,0.0,0.0,50.72,0.0,0.0,157,86,16515,101.906,0.503,-0.388,688,0,5,7,0
65000,5,0.999121,-0.041908,-0.0,-0.0,-4.804,-0.0,0.0,-127,25,16453,-8.849,-0.137,-1.211,688,0,5,7,0
70000,0,0.955212,0.295923,0.0,0.0,34.426,0.0,0.0,-72,-12,16461,66.803,-1.747,-0.595,787,0,0,0,0
70000,1,0.964101,0.265534,0.0,0.0,30.797,0.0,0.0,-12,-24,16508,58.991,0.863,-0.501,787,0,0,0,0
70000,2,0.983839,0.179057,0.0,0.0,20.63,0.0,0.0,-95,-110,16428,39.809,-0.495,0.594,787,0,0,0,0
70000,3,0.863509,0.504334,0.0,0.0,60.574,0.0,0.0,174,55,16478,120.951,0.276,-0.872,787,0,0,0,0
70000,4,0.909227,0.416302,0.0,0.0,49.203,0.0,0.0,-9,44,16442,99.117,0.049,0.514,787,0,0,0,0
70000,5,0.998793,-0.049108,-0.0,-0.0,-5.63,-0.0,0.0,155,-73,16352,-12.406,0.292,-0.225,787,0,0,0,0
75000,0,0.953174,0.302422,0.0,0.0,35.206,0.0,0.0,-16,-164,16472,67.944,0.552,-0.289,892,0,0,0,0
75000,1,0.960456,0.278433,0.0,0.0,32.333,0.0,0.0,12,91,16285,64.96,0.08,0.779,892,0,0,0,0
75000,2,0.982565,0.185921,0.0,0.0,21.43,0.0,0.0,-49,85,16647,43.185,0.615,0.531,892,0,0,0,0
75000,3,0.866924,0.49844,0.0,0.0,59.794,0.0,0.0,54,12,16478,118.051,0.113,-1.84,892,0,0,0,0
75000,4,0.914725,0.404077,0.0,0.0,47.667,0.0,0.0,99,106,16265,95.777,1.34,-1.647,892,0,0,0,0
75000,5,0.998426,-0.05608,-0.0,-0.0,-6.43,-0.0,0.0,15,-22,16506,-15.194,-0.749,-0.686,892,0,0,0,0
80000,0,0.951026,0.30911,0.0,0.0,36.011,0.0,0.0,98,47,16354,74.686,0.004,0.216,1000,0,0,0,0
80000,1,0.956599,0.291409,0.0,0.0,33.885,0.0,0.0,21,5,16431,66.333,-0.518,-0.192,1000,0,0,0,0
80000,2,0.981289,0.192539,0.0,0.0,22.202,0.0,0.0,-29,26,16454,44.125,0.206,-0.166,1000,0,0,0,0
80000,3,0.870404,0.492339,0.0,0.0,58.989,0.0,0.0,41,29,16373,121.141,-0.592,0.527,1000,0,0,0,0
80000,4,0.920111,0.391658,0.0,0.0,46.115,0.0,0.0,-188,93,16311,91.852,0.985,-1.311,1000,0,0,0,0
80000,5,0.998026,-0.062808,-0.0,-0.0,-7.202,-0.0,0.0,-46,-95,16358,-15.727,-0.127,-0.315,1000,0,0,0,0
85000,0,0.948769,0.315971,0.0,0.0,36.839,0.0,0.0,92,187,16456,73.128,0.276,1.649,1112,0,0,0,0
85000,1,0.952534,0.304431,0.0,0.0,35.448,0.0,0.0,-90,66,16447,71.065,0.265,0.119,1112,0,0,0,0
85000,2,0.98002,0.198899,0.0,0.0,22.945,0.0,0.0,79,-53,16460,47.475,-1.258,-0.807,1112,0,0,0,0
85000,3,0.873937,0.486039,0.0,0.0,58.161,0.0,0.0,-150,-128,16311,117.394,-0.526,1.633,1112,0,0,0,0
85000,4,0.925368,0.379069,0.0,0.0,44.552,0.0,0.0,-50,-109,16597,90.784,-0.588,0.207,1112,0,0,0,0
85000,5,0.997597,-0.069279,-0.0,-0.0,-7.945,-0.0,0.0,-4,-186,16479,-14.449,-0.554,0.314,1112,0,0,0,0
90000,0,0.946403,0.322989,0.0,0.0,37.688,0.0,0.0,17,119,16487,73.176,-1.049,0.81,1226,0,0,0,0
90000,1,0.948268,0.317472,0.0,0.0,37.02,0.0,0.0,-42,18,16473,73.827,-0.24,-0.889,1226,0,0,0,0
90000,2,0.978764,0.20499,0.0,0.0,23.658,0.0,0.0,149,25,16557,48.416,-0.741,0.032,1226,0,0,0,0
90000,3,0.877513,0.479553,0.0,0.0,57.312,0.0,0.0,-62,-63,16398,114.445,0.203,1.216,1226,0,0,0,0
90000,4,0.930482,0.366337,0.0,0.0,42.98,0.0,0.0,-111,-143,16425,85.069,-0.512,-0.483,1226,0,0,0,0
90000,5,0.997147,-0.075482,-0.0,-0.0,-8.658,-0.0,0.0,-42,29,16508,-15.271,-1.273,0.671,1226,0,0,0,0
95000,0,0.943928,0.33015,0.0,0.0,38.556,0.0,0.0,15,-40,16237,75.901,-1.193,0.268,1342,0,0,0,0
95000,1,0.943805,0.330502,0.0,0.0,38.598,0.0,0.0,-56,-2,16484,77.31,-0.061,-0.17,1342,0,0,0,0
95000,2,0.977529,0.2108,0.0,0.0,24.338,0.0,0.0,-20,135,16223,48.93,-0.373,-0.148,1342,0,0,0,0
95000,3,0.881121,0.472891,0.0,0.0,56.444,0.0,0.0,-364,-130,16223,111.339,1.925,-0.301,1342,0,0,0,0
95000,4,0.935439,0.353487,0.0,0.0,41.402,0.0,0.0,-83,-186,16425,83.299,-0.106,-1.26,1342,0,0,0,0
95000,5,0.996681,-0.081403,-0.0,-0.0,-9.338,-0.0,0.0,-3,82,16590,-20.282,-0.205,-0.573,1342,0,0,0,0
100000,0,0.941348,0.337438,0.0,0.0,39.442,0.0,0.0,206,-106,16411,80.95,0.39,-1.275,1460,0,0,0,0
100000,1,0.939156,0.343491,0.0,0.0,40.179,0.0,0.0,-134,6,16290,80.261,-0.509,-0.168,1460,0,0,0,0
100000,2,0.976323,0.216318,0.0,0.0,24.986,0.0,0.0,102,-107,16533,50.203,0.231,-1.453,1460,0,0,0,0
100000,3,0.884751,0.466065,0.0,0.0,55.558,0.0,0.0,112,-101,16429,111.783,-0.786,-0.161,1460,0,0,0,0
100000,4,0.940227,0.340548,0.0,0.0,39.821,0.0,0.0,100,74,16214,79.057,0.271,0.145,1460,0,0,0,0
100000,5,0.996206,-0.087032,-0.0,-0.0,-9.986,-0.0,0.0,48,-111,16395,-19.353,-0.195,-0.568,1460,0,0,0,0
105000,0,0.938663,0.344836,0.0,0.0,40.344,0.0,0.0,-16,-218,16469,80.737,0.265,-0.85,1579,0,0,0,0
105000,1,0.934329,0.356413,0.0,0.0,41.76,0.0,0.0,64,147,16477,85.307,0.488,-0.811,1579,0,0,0,0
105000,2,0.975152,0.221535,0.0,0.0,25.598,0.0,0.0,69,-75,16454,50.493,-0.13,-0.621,1579,0,0,0,0
105000,3,0.888391,0.459087,0.0,0.0,54.656,0.0,0.0,-63,-33,16348,107.032,0.285,-0.011,1579,0,0,0,0
105000,4,0.944835,0.327547,0.0,0.0,38.24,0.0,0.0,78,148,16612,78.535,-1.884,-0.654,1579,0,0,0,0
105000,5,0.995726,-0.092357,-0.0,-0.0,-10.598,-0.0,0.0,-66,-60,16469,-24.34,-0.437,1.383,1579,0,0,0,0
110000,0,0.935876,0.352329,0.0,0.0,41.26,0.0,0.0,23,-57,16323,83.94,0.15,0.487,1697,3,0,0,0
110000,1,0.929335,0.369238,0.0,0.0,43.337,0.0,0.0,-38,-110,16437,84.957,-0.002,-0.188,1697,3,0,0,0
110000,2,0.974025,0.226441,0.0,0.0,26.175,0.0,0.0,100,-45,16422,53.517,-0.022,0.492,1697,3,0,0,0
110000,3,0.892033,0.451971,0.0,0.0,53.74,0.0,0.0,54,0,16487,108.261,0.258,0.629,1697,3,0,0,0
110000,4,0.949253,0.314512,0.0,0.0,36.663,0.0,0.0,-79,-132,16261,75.186,0.24,-1.113,1697,3,0,0,0
110000,5,0.995248,-0.097368,-0.0,-0.0,-11.175,-0.0,0.0,-76,-57,16465,-22.713,-0.591,0.505,1697,3,0,0,0
115000,0,0.932991,0.359899,0.0,0.0,42.188,0.0,0.0,-4,-145,16410,86.812,-0.632,0.347,1815,19,0,0,0
115000,1,0.924187,0.38194,0.0,0.0,44.908,0.0,0.0,48,-49,16484,89.023,0.547,0.69,1815,19,0,0,0
115000,2,0.972947,0.231027,0.0,0.0,26.715,0.0,0.0,114,-51,16340,52.893,1.35,-0.999,1815,19,0,0,0
115000,3,0.895665,0.444729,0.0,0.0,52.812,0.0,0.0,-24,9,16257,108.058,-0.122,-0.539,1815,19,0,0,0
115000,4,0.953475,0.301473,0.0,0.0,35.092,0.0,0.0,102,40,16490,69.81,0.92,-0.47,1815,19,0,0,0
115000,5,0.994779,-0.102056,-0.0,-0.0,-11.715,-0.0,0.0,-94,163,16365,-23.073,0.311,-1.354,1815,19,0,0,0
120000,0,0.930011,0.367532,0.0,0.0,43.127,0.0,0.0,-178,-84,16268,84.541,0.434,0.057,1932,46,0,0,0
120000,1,0.918899,0.394493,0.0,0.0,46.469,0.0,0.0,-22,-64,16455,93.265,-0.297,-0.847,1932,46,0,0,0
120000,2,0.971926,0.235285,0.0,0.0,27.217,0.0,0.0,-116,-135,16224,54.633,0.159,-0.357,1932,46,0,0,0
120000,3,0.899279,0.437375,0.0,0.0,51.873,0.0,0.0,-40,-10,16416,107.571,-0.846,0.244,1932,46,0,0,0
120000,4,0.957493,0.288458,0.0,0.0,33.531,0.0,0.0,61,-21,16442,66.338,0.689,-0.117,1932,46,0,0,0
120000,5,0.994322,-0.106411,-0.0,-0.0,-12.217,-0.0,0.0,-55,79,16556,-26.294,1.442,0.006,1932,46,0,0,0
125000,0,0.92694,0.375209,0.0,0.0,44.075,0.0,0.0,51,-40,16428,90.71,-0.433,0.367,2047,84,0,0,0
125000,1,0.913486,0.40687,0.0,0.0,48.017,0.0,0.0,88,-49,16422,94.319,0.645,-1.169,2047,84,0,0,0
125000,2,0.970968,0.239208,0.0,0.0,27.68,0.0,0.0,-40,84,16468,59.587,0.15,-0.002,2047,84,0,0,0
125000,3,0.902865,0.429924,0.0,0.0,50.925,0.0,0.0,-167,24,16243,102.515,-0.108,-0.265,2047,84,0,0,0
125000,4,0.961302,0.275497,0.0,0.0,31.983,0.0,0.0,-97,-66,16367,64.741,0.333,-0.54,2047,84,0,0,0
125000,5,0.993884,-0.110425,-0.0,-0.0,-12.68,-0.0,0.0,-77,-42,16526,-25.948,0.363,-1.644,2047,84,0,0,0
130000,0,0.923783,0.382916,0.0,0.0,45.029,0.0,0.0,-32,30,16466,86.486,-0.223,-0.523,2160,133,0,0,0
130000,1,0.907965,0.419047,0.0,0.0,49.549,0.0,0.0,126,55,16409,96.254,-1.268,1.587,2160,133,0,0,0
130000,2,0.970079,0.242789,0.0,0.0,28.102,0.0,0.0,-31,17,16430,55.57,1.067,-1.267,2160,133,0,0,0
130000,3,0.906414,0.42239,0.0,0.0,49.971,0.0,0.0,220,100,16592,98.551,0.378,-1.263,2160,133,0,0,0
130000,4,0.964899,0.26262,0.0,0.0,30.451,0.0,0.0,82,-204,16269,61.335,1.192,-0.05,2160,133,0,0,0
130000,5,0.99347,-0.114091,-0.0,-0.0,-13.102,-0.0,0.0,-9,136,16299,-30.73,-0.593,0.063,2160,133,0,0,0
135000,0,0.920545,0.390636,0.0,0.0,45.988,0.0,0.0,152,42,16306,92.632,0.918,0.077,2269,193,0,0,0
135000,1,0.902352,0.431,0.0,0.0,51.062,0.0,0.0,24,23,16226,102.559,-1.521,0.147,2269,193,0,0,0
135000,2,0.969264,0.246021,0.0,0.0,28.484,0.0,0.0,154,73,16396,58.303,-1.874,0.583,2269,193,0,0,0
135000,3,0.909918,0.414787,0.0,0.0,49.012,0.0,0.0,107,-148,16456,97.205,0.295,0.63,2269,193,0,0,0
135000,4,0.968283,0.249855,0.0,0.0,28.938,0.0,0.0,-115,103,16543,57.67,-0.006,1.268,2269,193,0,0,0
135000,5,0.993084,-0.117402,-0.0,-0.0,-13.484,-0.0,0.0,-35,24,16368,-28.832,0.458,0.489,2269,193,0,0,0
140000,0,0.917233,0.398352,0.0,0.0,46.95,0.0,0.0,226,-163,16423,94.808,-0.84,0.251,2375,263,0,0,0
140000,1,0.896667,0.442707,0.0,0.0,52.553,0.0,0.0,92,-130,16461,103.431,-1.199,-1.467,2375,263,0,0,0
140000,2,0.968529,0.248899,0.0,0.0,28.825,0.0,0.0,-11,-66,16287,57.084,0.067,0.746,2375,263,0,0,0
140000,3,0.913369,0.407132,0.0,0.0,48.05,0.0,0.0,230,33,16372,94.388,0.614,0.501,2375,263,0,0,0
140000,4,0.971453,0.237233,0.0,0.0,27.447,0.0,0.0,70,-94,16416,54.718,-0.55,1.137,2375,263,0,0,0
140000,5,0.992731,-0.120352,-0.0,-0.0,-13.825,-0.0,0.0,121,-145,16426,-28.219,0.203,0.406,2375,263,0,0,0
145000,0,0.913851,0.406049,0.0,0.0,47.914,0.0,0.0,-69,51,16360,96.418,0.623,-0.4,2477,341,0,0,0
145000,1,0.890928,0.454145,0.0,0.0,54.02,0.0,0.0,103,89,16162,108.94,1.47,-1.211,2477,341,0,0,0
145000,2,0.967878,0.251419,0.0,0.0,29.123,0.0,0.0,-4,-56,16374,56.112,-0.945,0.104,2477,341,0,0,0
145000,3,0.91676,0.399439,0.0,0.0,47.086,0.0,0.0,-59,-46,16371,92.659,-0.648,0.072,2477,341,0,0,0
145000,4,0.974409,0.224782,0.0,0.0,25.98,0.0,0.0,12,14,16255,52.495,0.979,0.8,2477,341,0,0,0
145000,5,0.992415,-0.122934,-0.0,-0.0,-14.123,-0.0,0.0,-75,84,16395,-29.185,0.88,0.048,2477,341,0,0,0
150000,0,0.910409,0.41371,0.0,0.0,48.876,0.0,0.0,191,139,16462,97.479,0.467,-0.826,2574,428,0,0,0
150000,1,0.885156,0.465295,0.0,0.0,55.459,0.0,0.0,85,-9,16384,108.934,-0.154,0.349,2574,428,0,0,0
150000,2,0.967316,0.253575,0.0,0.0,29.378,0.0,0.0,191,160,16416,58.618,1.095,-0.433,2574,428,0,0,0
150000,3,0.920082,0.391725,0.0,0.0,46.124,0.0,0.0,61,30,16470,89.999,0.611,1.814,2574,428,0,0,0
150000,4,0.977154,0.212531,0.0,0.0,24.541,0.0,0.0,45,-89,16349,49.253,-1.005,0.764,2574,428,0,0,0
150000,5,0.992138,-0.125146,-0.0,-0.0,-14.378,-0.0,0.0,58,27,16278,-29.151,-0.823,-0.635,2574,428,0,0,0
155000,0,0.906912,0.421321,0.0,0.0,49.836,0.0,0.0,25,136,16343,100.779,0.26,-0.29,2665,523,0,0,0
155000,1,0.879372,0.476136,0.0,0.0,56.867,0.0,0.0,-40,-52,16296,112.828,0.593,-0.151,2665,523,0,0,0
155000,2,0.966845,0.255364,0.0,0.0,29.59,0.0,0.0,-179,-17,16278,58.667,0.156,-0.564,2665,523,0,0,0
155000,3,0.923331,0.384005,0.0,0.0,45.164,0.0,0.0,-69,-41,16327,89.183,-1.096,-0.924,2665,523,0,0,0
155000,4,0.979692,0.200508,0.0,0.0,23.133,0.0,0.0,219,-137,16224,46.688,-0.002,0.558,2665,523,0,0,0
155000,5,0.991905,-0.126981,-0.0,-0.0,-14.59,-0.0,0.0,39,-14,16490,-26.422,-1.023,-1.117,2665,523,0,0,0
160000,0,0.903368,0.428866,0.0,0.0,50.791,0.0,0.0,-55,6,16386,103.524,-0.575,0.14,2750,624,0,0,0
160000,1,0.873597,0.486651,0.0,0.0,58.241,0.0,0.0,-81,40,16251,117.974,0.765,-0.413,2750,624,0,0,0
160000,2,0.966469,0.256784,0.0,0.0,29.759,0.0,0.0,230,-56,16463,62.966,1.126,0.521,2750,624,0,0,0
160000,3,0.9265,0.376295,0.0,0.0,44.209,0.0,0.0,-31,-30,16322,90.722,1.695,1.831,2750,624,0,0,0
160000,4,0.982027,0.188741,0.0,0.0,21.759,0.0,0.0,-8,-74,16353,43.491,-0.829,-0.638,2750,624,0,0,0
160000,5,0.991718,-0.128438,-0.0,-0.0,-14.759,-0.0,0.0,103,-189,16420,-29.508,-0.128,0.692,2750,624,0,0,0
165000,0,0.899787,0.43633,0.0,0.0,51.74,0.0,0.0,13,-71,16406,104.071,-0.577,-0.457,2830,731,0,0,0
165000,1,0.867853,0.496822,0.0,0.0,59.58,0.0,0.0,128,31,16279,118.986,-0.168,1.136,2830,731,0,0,0
165000,2,0.96619,0.257831,0.0,0.0,29.883,0.0,0.0,234,51,16564,60.036,0.344,0.013,2830,731,0,0,0
165000,3,0.929583,0.368612,0.0,0.0,43.26,0.0,0.0,75,-115,16475,86.133,0.945,-0.103,2830,731,0,0,0
165000,4,0.984165,0.177257,0.0,0.0,20.42,0.0,0.0,-63,23,16461,40.651,0.115,-1.86,2830,731,0,0,0
165000,5,0.991578,-0.129512,-0.0,-0.0,-14.883,-0.0,0.0,192,14,16249,-28.113,0.46,0.706,2830,731,0,0,0
170000,0,0.896176,0.443698,0.0,0.0,52.68,0.0,0.0,-16,159,16283,107.422,-0.001,0.471,2902,842,0,0,0
